AIRPORT_SEQ_ID,AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,AIRPORT_STATE_FIPS,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL,CITY_MARKET_WAC,LAT_DEGREES,LAT_HEMISPHERE,LAT_MINUTES,LAT_SECONDS,LATITUDE,LON_DEGREES,LON_HEMISPHERE,LON_MINUTES,LON_SECONDS,LONGITUDE,AIRPORT_START_DATE,AIRPORT_THRU_DATE,AIRPORT_IS_CLOSED,AIRPORT_IS_LATEST
1087401,10874,CAK,Akron-Canton Regional,"Akron, OH",44,United States,US,Ohio,OH,39.0,30647,"Cleveland, OH (Metropolitan Area)",44,40.0,N,54.0,50.0,40.91388889,81.0,W,26.0,30.0,-81.44166667,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1087901,10879,CAR,Caribou Municipal,"Caribou, ME",12,United States,US,Maine,ME,23.0,30879,"Caribou, ME",12,46.0,N,52.0,15.0,46.87083333,68.0,W,1.0,15.0,-68.02083333,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1088601,10886,CBA,Corner Bay Airport,"Corner Bay, AK",1,United States,US,Alaska,AK,2.0,30886,"Corner Bay, AK",1,57.0,N,44.0,16.0,57.73777778,135.0,W,7.0,32.0,-135.12555556,3/1/1978 12:00:00 AM,,0,1
1088801,10888,CBE,Cumberland Municipal,"Cumberland, MD",35,United States,US,Maryland,MD,24.0,30888,"Cumberland, MD",35,39.0,N,36.0,52.0,39.61444444,78.0,W,45.0,58.0,-78.76611111,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1088901,10889,CBF,Council Bluffs Municipal,"Council Bluffs, IA",61,United States,US,Iowa,IA,19.0,30889,"Council Bluffs, IA",61,41.0,N,15.0,32.0,41.25888889,95.0,W,45.0,35.0,-95.75972222,3/1/1996 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1089201,10892,CBK,Murray,"Colby, KS",62,United States,US,Kansas,KS,20.0,30892,"Colby, KS",62,39.0,N,24.0,14.0,39.40388889,101.0,W,2.0,48.0,-101.04666667,1/1/1950 12:00:00 AM,,0,1
1089401,10894,CBM,Columbus AFB,"Columbus, MS",53,United States,US,Mississippi,MS,28.0,30894,"Columbus, MS",53,33.0,N,38.0,37.0,33.64361111,88.0,W,26.0,38.0,-88.44388889,6/1/1976 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1091001,10910,CCR,Buchanan Field,"Concord, CA",91,United States,US,California,CA,6.0,32457,"San Francisco, CA (Metropolitan Area)",91,37.0,N,59.0,20.0,37.98888889,122.0,W,3.0,20.0,-122.05555556,1/1/1950 12:00:00 AM,11/30/2002 12:00:00 AM,0,0
1091501,10915,CCY,Charles City Municipal,"Charles City, IA",61,United States,US,Iowa,IA,19.0,30915,"Charles City, IA",61,43.0,N,4.0,21.0,43.0725,92.0,W,36.0,39.0,-92.61083333,6/1/1999 12:00:00 AM,12/31/2007 12:00:00 AM,0,0
1091701,10917,CDB,Cold Bay Airport,"Cold Bay, AK",1,United States,US,Alaska,AK,2.0,30082,"Cold Bay, AK",1,55.0,N,11.0,59.0,55.19972222,162.0,W,43.0,11.0,-162.71972222,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1091801,10918,CDC,Cedar City Regional,"Cedar City, UT",87,United States,US,Utah,UT,49.0,30918,"Cedar City, UT",87,37.0,N,42.0,9.0,37.7025,113.0,W,5.0,46.0,-113.09611111,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1092101,10921,CDH,Harrell Field,"Camden, AR",71,United States,US,Arkansas,AR,5.0,30921,"Camden, AR",71,33.0,N,37.0,3.0,33.6175,92.0,W,45.0,48.0,-92.76333333,1/1/1950 12:00:00 AM,11/30/2002 12:00:00 AM,0,0
1092301,10923,CDL,Candle 2,"Candle, AK",1,United States,US,Alaska,AK,2.0,30923,"Candle, AK",1,65.0,N,54.0,29.0,65.90805556,161.0,W,56.0,18.0,-161.93833333,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1092401,10924,CDN,Woodward Field,"Camden, SC",37,United States,US,South Carolina,SC,45.0,30924,"Camden, SC",37,34.0,N,16.0,0.0,34.26666667,80.0,W,36.0,0.0,-80.6,3/1/2003 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1092501,10925,CDR,Chadron Municipal,"Chadron, NE",65,United States,US,Nebraska,NE,31.0,30925,"Chadron, NE",65,42.0,N,50.0,6.0,42.835,103.0,W,5.0,52.0,-103.09777778,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1092601,10926,CDV,Cordova Mile 13,"Cordova, AK",1,United States,US,Alaska,AK,2.0,30913,"Cordova, AK",1,60.0,N,29.0,35.0,60.49305556,145.0,W,28.0,12.0,-145.47,1/1/1950 12:00:00 AM,8/31/1974 12:00:00 AM,0,0
1092701,10927,CDW,Caldwell Wright,"Caldwell, NJ",21,United States,US,New Jersey,NJ,34.0,30927,"Caldwell, NJ",21,40.0,N,52.0,32.0,40.87555556,74.0,W,16.0,53.0,-74.28138889,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1092801,10928,CEA,Cessna Aircraft Field,"Wichita, KS",62,United States,US,Kansas,KS,20.0,30928,"Wichita, KS",62,37.0,N,38.0,55.0,37.64861111,97.0,W,15.0,1.0,-97.25027778,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
